sponsor_group_final,total_trials,recent_confirmed_starts,active_trials,early_stage_trials,phase3_or_later_trials,first_start_year,latest_start_year,unique_therapy_identities,focal_pair_count,verified_pair_count,mechanism_superfamily_breadth,share_of_industry_trials,share_of_recent_industry_starts,active_trial_share,phase3plus_share,trials_per_therapy_identity,trial_volume_rank
"Glyscend, Inc.",1,1,0,0,0,2024,2024,1,1,1,1,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,108
Gmax Biopharm Australia Pty Ltd.,1,0,0,1,0,2021,2021,1,1,1,1,0.0014285714285714286,0.0,0.0,0.0,1.0,109
Gubra A/S,1,1,1,1,0,2026,2026,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,110
HK inno.N Corporation,1,1,1,0,1,2025,2025,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,1.0,1.0,111
"Hangzhou Jiuyuan Gene Engineering Co. Ltd.,",1,1,1,0,1,2024,2024,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,1.0,1.0,112
"Helicore Biopharma, Inc.",1,1,0,1,0,2025,2025,1,1,0,0,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,113
"HongKong Curegene Innovation Co., Limited",1,1,1,1,0,2026,2026,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,114
"Immunis, Inc.",1,1,1,0,0,2024,2024,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,115
InSilico Medicine Hong Kong Limited,1,1,1,1,0,2026,2026,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,116
Inversago Pharma Inc.,1,1,0,0,0,2023,2023,1,1,0,0,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,117
"Ionis Pharmaceuticals, Inc.",1,0,0,0,0,2015,2015,1,1,0,0,0.0014285714285714286,0.0,0.0,0.0,1.0,118
"Jiangsu HengRui Medicine Co., Ltd.",1,0,0,0,0,2021,2021,1,1,0,0,0.0014285714285714286,0.0,0.0,0.0,1.0,119
"Kanion & Huawe Medicine Co.,Ltd",1,0,0,0,1,2019,2019,1,1,0,0,0.0014285714285714286,0.0,0.0,1.0,1.0,120
KeyBioscience AG,1,1,1,0,0,2025,2025,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,121
"Kwang Dong Pharmaceutical co., ltd.",1,0,0,1,0,2015,2015,1,1,1,1,0.0014285714285714286,0.0,0.0,0.0,1.0,122
"Kyowa Kirin Co., Ltd.",1,0,0,1,0,2019,2019,1,1,1,1,0.0014285714285714286,0.0,0.0,0.0,1.0,123
MBX Biosciences,1,1,1,1,0,2025,2025,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,124
Mankind Pharma Limited,1,1,1,0,0,2025,2025,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,125
Metabolic Research Unit,1,0,0,0,0,2021,2021,1,1,1,1,0.0014285714285714286,0.0,0.0,0.0,1.0,126
Metabolics Pharma,1,1,0,1,0,2023,2023,1,1,1,1,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,127
"Metsera, a wholly owned subsidiary of Pfizer",1,1,0,1,0,2024,2024,1,1,0,0,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,128
"NeuroBiogen Co., Ltd",1,1,1,0,0,2025,2025,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,129
NeuroBo Pharmaceuticals Inc.,1,1,1,1,0,2024,2024,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,130
"NovMetaPharma Co., Ltd.",1,0,0,0,0,2016,2016,1,1,1,1,0.0014285714285714286,0.0,0.0,0.0,1.0,131
"OPKO Health, Inc.",1,0,0,1,0,2016,2016,1,1,0,0,0.0014285714285714286,0.0,0.0,0.0,1.0,132
"OrsoBio, Inc",1,1,1,1,0,2023,2023,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,133
"Otsuka Pharmaceutical Factory, Inc.",1,0,0,1,0,2021,2021,1,1,0,0,0.0014285714285714286,0.0,0.0,0.0,1.0,134
Raziel Therapeutics Ltd.,1,0,0,0,0,2017,2017,1,1,0,0,0.0014285714285714286,0.0,0.0,0.0,1.0,135
Rose Pharma Inc,1,1,0,0,0,2024,2024,1,1,0,0,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,136
SCBIO Inc.,1,1,1,1,0,2026,2026,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,137
Sanofi,1,0,0,1,0,2019,2019,1,1,0,0,0.0014285714285714286,0.0,0.0,0.0,1.0,138
"Scholar Rock, Inc.",1,1,0,0,0,2024,2024,1,1,1,1,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,139
"Shanghai Chia Tai Tianqing Pharmaceutical Technology Development Co., Ltd.",1,0,1,1,0,2026,2026,1,1,0,0,0.0014285714285714286,0.0,1.0,0.0,1.0,140
"Shanghai World Leader Pharmaceutical Co., Ltd.",1,1,1,1,0,2026,2026,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,141
"Shanghai Xitaili Biomedicine Technology co., Ltd.",1,1,1,1,0,2025,2025,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,142
"Shenzhen Kangzhe Biotechnology Co., Ltd.",1,1,1,1,0,2026,2026,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,143
"Sirius Therapeutics Co., Ltd.",1,1,1,1,0,2026,2026,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,144
Sirnaomics,1,0,0,1,0,2022,2022,1,1,0,0,0.0014285714285714286,0.0,0.0,0.0,1.0,145
"Soleno Therapeutics, Inc.",1,1,0,0,0,2023,2023,1,1,1,1,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,146
"Suzhou Alphamab Co., Ltd.",1,1,1,1,0,2024,2024,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,147
Suzhou Sanegene Bio Inc.,1,1,1,1,0,2026,2026,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,148
"Suzhou Siran Biotechnology Co.,Ltd.",1,1,1,1,0,2026,2026,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,149
Syntis Bio,1,1,0,1,0,2026,2026,1,1,0,0,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,150
"TIXiMED, Inc.",1,1,1,1,0,2026,2026,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,151
"Terns, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",1,1,0,0,0,2025,2025,1,1,0,0,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,152
"Wave Life Sciences USA, Inc.",1,1,1,1,0,2025,2025,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,153
Xeno Biosciences,1,1,0,1,0,2024,2024,1,1,0,0,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,154
YSOPIA Bioscience,1,0,0,1,0,2020,2020,1,1,0,0,0.0014285714285714286,0.0,0.0,0.0,1.0,155
"Zafgen, Inc.",1,0,0,0,0,2017,2017,1,1,0,0,0.0014285714285714286,0.0,0.0,0.0,1.0,156
"Zhejiang Doer Biologics Co., Ltd.",1,0,0,1,0,2022,2022,1,1,1,1,0.0014285714285714286,0.0,0.0,0.0,1.0,157
"iBio, Inc.",1,1,1,1,0,2026,2026,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,158
pH Pharma,1,0,0,1,0,2018,2018,1,1,0,0,0.0014285714285714286,0.0,0.0,0.0,1.0,159
